road_id,timestamp,hour,day_of_week,is_weekend,temperature_c,precipitation_mm,visibility_km,wind_speed_kmph,weather_condition,congestion_level
R2,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.336
R3,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.304
R4,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.38
R5,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.346
R6,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.402
R7,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.334
R8,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.264
R9,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.257
R10,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.408
R11,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.411
R12,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.316
R13,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.306
R14,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.398
R15,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.27
R16,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.28
R17,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.357
R18,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.305
R19,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.325
R20,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.317
R21,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.342
R22,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.395
R23,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.33
R24,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.357
R25,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.222
R26,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.323
R27,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.283
R28,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.264
R29,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.281
R30,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.308
R31,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.371
R32,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.259
R33,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.327
R34,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.301
R35,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.309
R36,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.375
R37,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.352
R38,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.392
R39,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.317
R40,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.29
R41,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.314
R42,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.337
R43,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.334
R44,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.271
R45,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.33
R46,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.336
R47,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.451
R48,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.419
R49,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.282
R50,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.311
R51,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.252
R52,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.295
R53,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.341
R54,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.385
R55,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.289
R56,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.292
R57,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.218
R58,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.317
R59,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.272
R0,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.299
R1,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.281
R2,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.32
R3,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.237
R4,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.252
R5,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.431
R6,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.261
R7,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.27
R8,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.417
R9,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.47
R10,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.266
R11,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.307
R12,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.342
R13,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.411
R14,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.276
R15,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.313
R16,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.364
R17,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.347
R18,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.306
R19,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.318
R20,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.256
R21,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.313
R22,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.312
R23,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.337
R24,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.297
R25,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.349
R26,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.376
R27,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.333
R28,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.343
R29,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.328
R30,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.325
R31,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.289
R32,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.341
R33,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.32
R34,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.43
R35,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.404
R36,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.344
R37,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.287
R38,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.269
R39,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.385
R40,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.338
R41,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.349
R42,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.238
R43,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.371
R44,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.348
R45,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.269
R46,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.301
R47,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.338
R48,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.328
R49,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.31
R50,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.32
R51,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.312
R52,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.333
R53,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.399
R54,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.197
R55,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.313
R56,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.334
R57,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.34
R58,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.306
R59,2024-01-01 02:00:00,2,0,0,12.4,5.5,6.0,28.0,Fog,0.237
R0,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.341
R1,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.411
R2,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.248
R3,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.368
R4,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.309
R5,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.322
R6,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.272
R7,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.308
R8,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.39
R9,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.354
R10,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.412
R11,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.384
R12,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.347
R13,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.412
R14,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.347
R15,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.366
R16,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.31
R17,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.328
R18,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.29
R19,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.374
R20,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.266
R21,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.364
R22,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.315
R23,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.384
R24,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.363
R25,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.416
R26,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.362
R27,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.246
R28,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.322
R29,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.266
R30,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.299
R31,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.401
R32,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.357
R33,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.29
R34,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.274
R35,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.327
R36,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.264
R37,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.291
R38,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.341
R39,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.383
R40,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.355
R41,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.21
R42,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.34
R43,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.329
R44,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.346
R45,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.406
R46,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.222
R47,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.295
R48,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.355
R49,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.246
R50,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.399
R51,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.343
R52,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.367
R53,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.296
R54,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.366
R55,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.378
R56,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.337
R57,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.337
R58,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.339
R59,2024-01-01 03:00:00,3,0,0,12.4,5.5,6.0,28.0,Fog,0.282
R0,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.318
R1,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.317
R2,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.344
R3,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.375
R4,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.272
R5,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.319
R6,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.399
R7,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.288
R8,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.284
R9,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.335
R10,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.367
R11,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.326
R12,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.391
R13,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.368
R14,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.367
R15,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.353
R16,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.441
R17,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.315
R18,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.225
R19,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.405
R20,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.302
R21,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.33
R22,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.39
R23,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.245
R24,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.262
R25,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.245
R26,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.285
R27,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.347
R28,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.351
R29,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.339
R30,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.254
R31,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.209
R32,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.328
R33,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.301
R34,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.348
R35,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.36
R36,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.332
R37,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.363
R38,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.336
R39,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.352
R40,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.29
R41,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.316
R42,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.335
R43,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.366
R44,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.305
R45,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.351
R46,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.312
R47,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.319
R48,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.366
R49,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.225
R50,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.26
R51,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.251
R52,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.208
R53,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.291
R54,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.362
R55,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.311
R56,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.335
R57,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.379
R58,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.391
R59,2024-01-01 04:00:00,4,0,0,12.4,5.5,6.0,28.0,Fog,0.322
R0,2024-01-01 05:00:00,5,0,0,12.4,5.5,6.0,28.0,Fog,0.393
